date,gdp_annualized,us_gdp_yoy_proxy
2021-10-01,7.0416786109130936,14.601436191622351
2022-01-01,-1.0153057807451127,7.228515810568337
2022-04-01,0.6276599617172085,10.03515733756386
2022-07-01,2.9190173117406015,7.551986125076038
2022-10-01,2.7896792303830242,6.759746229922992
2023-01-01,2.9269931752128775,6.831358141784238
2023-04-01,2.5352403907615395,4.689403976978412
2023-07-01,4.694888429547928,8.153658441728417
2023-10-01,3.4192155752948095,5.078864913510817
2024-01-01,0.8420915771010673,4.048683387268559
2024-04-01,3.5892686664036777,6.256761088526508
2024-07-01,3.340152501559479,5.098550016818804
2024-10-01,1.8522267738050768,4.31760782406323
2025-01-01,-0.6484826392524012,2.941262744643658
2025-04-01,3.8380332333819878,6.038710411379666
2025-07-01,4.3753962528715995,8.27919201544165
2025-10-01,0.48224811236061704,4.239670970577025
2026-01-01,1.9897217789708987,5.636647138485751
