date,oil,copper,soybean,corn
2021-05-10,64.91999816894531,4.733500003814697,1620.0,748.0
2021-05-11,65.27999877929688,4.778500080108643,1637.5,759.5
2021-05-12,66.08000183105469,4.752500057220459,1660.5,757.5
2021-05-13,63.81999969482422,4.70550012588501,1612.25,719.0
2021-05-14,65.37000274658203,4.664000034332275,1603.75,685.0
2021-05-17,66.2699966430664,4.721499919891357,1587.5,652.5
2021-05-18,65.48999786376953,4.735499858856201,1574.25,658.25
2021-05-19,63.36000061035156,4.5894999504089355,1538.25,658.25
2021-05-20,62.04999923706055,4.581999778747559,1533.25,664.5
2021-05-21,63.58000183105469,4.495999813079834,1526.25,659.5
2021-05-24,66.05000305175781,4.541500091552734,1522.75,657.25
2021-05-25,66.06999969482422,4.521999835968018,1511.75,620.25
2021-05-26,66.20999908447266,4.5329999923706055,1503.5,624.5
2021-05-27,66.8499984741211,4.666500091552734,1537.0,664.5
2021-05-28,66.31999969482422,4.682499885559082,1530.5,656.75
2021-06-01,67.72000122070312,4.6620001792907715,1548.5,688.75
2021-06-02,68.83000183105469,4.599999904632568,1562.5,675.0
2021-06-03,68.80999755859375,4.471499919891357,1549.25,662.0
2021-06-04,69.62000274658203,4.537499904632568,1583.75,682.75
2021-06-07,69.2300033569336,4.534999847412109,1560.25,679.25
2021-06-08,70.05000305175781,4.563000202178955,1580.0,680.0
2021-06-09,69.95999908447266,4.536499977111816,1562.5,690.75
2021-06-10,70.29000091552734,4.489999771118164,1544.0,699.0
2021-06-11,70.91000366210938,4.541500091552734,1508.5,684.5
2021-06-14,70.87999725341797,4.5320000648498535,1472.25,659.25
2021-06-15,72.12000274658203,4.340000152587891,1465.75,667.5
2021-06-16,72.1500015258789,4.392499923706055,1448.5,673.0
2021-06-17,71.04000091552734,4.184500217437744,1329.75,633.0
2021-06-18,71.63999938964844,4.162499904632568,1396.0,655.25
2021-06-21,73.66000366210938,4.1875,1415.0,659.25
2021-06-22,73.05999755859375,4.234499931335449,1394.5,659.75
2021-06-23,73.08000183105469,4.330999851226807,1385.0,664.25
2021-06-24,73.30000305175781,4.311500072479248,1371.25,653.25
2021-06-25,74.05000305175781,4.298999786376953,1329.75,636.5
2021-06-28,72.91000366210938,4.2779998779296875,1357.0,675.5
2021-06-29,72.9800033569336,4.276500225067139,1359.75,694.5
2021-06-30,73.47000122070312,4.296500205993652,1450.0,720.0
2021-07-01,75.2300033569336,4.242000102996826,1446.75,719.75
2021-07-02,75.16000366210938,4.2820000648498535,1451.75,697.25
2021-07-06,73.37000274658203,4.257999897003174,1363.75,656.0
2021-07-07,72.19999694824219,4.328999996185303,1386.5,652.5
2021-07-08,72.94000244140625,4.271500110626221,1390.25,638.0
2021-07-09,74.55999755859375,4.352499961853027,1404.0,629.75
2021-07-12,74.0999984741211,4.322999954223633,1432.5,669.25
2021-07-13,75.25,4.314499855041504,1438.0,677.0
2021-07-14,73.12999725341797,4.2769999504089355,1467.75,683.0
2021-07-15,71.6500015258789,4.333000183105469,1447.5,564.25
2021-07-16,71.80999755859375,4.332499980926514,1454.75,556.0
2021-07-19,66.41999816894531,4.2104997634887695,1428.0,556.0
2021-07-20,67.41999816894531,4.273499965667725,1443.5,571.75
2021-07-21,70.30000305175781,4.28249979019165,1439.25,571.75
2021-07-22,71.91000366210938,4.3480000495910645,1416.25,564.5
2021-07-23,72.06999969482422,4.406499862670898,1401.0,547.25
2021-07-26,71.91000366210938,4.589000225067139,1412.75,549.75
2021-07-27,71.6500015258789,4.546000003814697,1418.25,548.75
2021-07-28,72.38999938964844,4.479000091552734,1432.0,549.25
2021-07-29,73.62000274658203,4.519999980926514,1434.25,558.0
2021-07-30,73.94999694824219,4.480500221252441,1414.75,547.0
2021-08-02,71.26000213623047,4.432000160217285,1418.75,558.75
2021-08-03,70.55999755859375,4.382999897003174,1392.25,550.5
2021-08-04,68.1500015258789,4.329999923706055,1403.5,545.75
2021-08-05,69.08999633789062,4.3454999923706055,1402.5,555.75
2021-08-06,68.27999877929688,4.3454999923706055,1422.25,555.0
2021-08-09,66.4800033569336,4.2870001792907715,1433.75,550.25
2021-08-10,68.29000091552734,4.351500034332275,1447.5,549.25
2021-08-11,69.25,4.363999843597412,1405.5,556.25
2021-08-12,69.08999633789062,4.355999946594238,1401.5,567.0
2021-08-13,68.44000244140625,4.38700008392334,1424.25,568.25
2021-08-16,67.29000091552734,4.322000026702881,1376.0,564.75
2021-08-17,66.58999633789062,4.199999809265137,1369.0,558.25
2021-08-18,65.45999908447266,4.116000175476074,1358.25,561.75
2021-08-19,63.689998626708984,4.03849983215332,1323.0,550.0
2021-08-20,62.31999969482422,4.134500026702881,1293.75,538.75
2021-08-23,65.63999938964844,4.234499931335449,1294.0,538.0
2021-08-24,67.54000091552734,4.255000114440918,1337.0,544.5
2021-08-25,68.36000061035156,4.264999866485596,1346.0,551.25
2021-08-26,67.41999816894531,4.245999813079834,1367.5,552.75
2021-08-27,68.73999786376953,4.316500186920166,1359.25,558.0
2021-08-30,69.20999908447266,4.361000061035156,1304.75,540.25
2021-08-31,68.5,4.360000133514404,1298.75,534.0
2021-09-01,68.58999633789062,4.263000011444092,1277.75,515.5
2021-09-02,69.98999786376953,4.289999961853027,1279.25,516.25
2021-09-03,69.29000091552734,4.325500011444092,1283.0,508.0
2021-09-07,68.3499984741211,4.277500152587891,1268.75,495.75
2021-09-08,69.30000305175781,4.23199987411499,1270.75,498.25
2021-09-09,68.13999938964844,4.2835001945495605,1258.75,496.0
2021-09-10,69.72000122070312,4.447999954223633,1275.25,502.75
2021-09-13,70.44999694824219,4.363500118255615,1272.5,496.75
2021-09-14,70.45999908447266,4.317999839782715,1276.5,503.0
2021-09-15,72.61000061035156,4.403500080108643,1294.5,533.5
2021-09-16,72.61000061035156,4.278500080108643,1296.0,529.5
2021-09-17,71.97000122070312,4.245500087738037,1284.0,527.25
2021-09-20,70.29000091552734,4.117000102996826,1262.5,521.75
2021-09-21,70.55999755859375,4.127999782562256,1274.0,517.0
2021-09-22,72.2300033569336,4.252500057220459,1282.75,525.5
2021-09-23,73.30000305175781,4.230999946594238,1284.25,529.25
2021-09-24,73.9800033569336,4.287499904632568,1285.0,526.75
2021-09-27,75.44999694824219,4.293499946594238,1287.5,539.5
2021-09-28,75.29000091552734,4.244999885559082,1277.0,532.5
2021-09-29,74.83000183105469,4.199999809265137,1283.75,539.0
2021-09-30,75.02999877929688,4.090000152587891,1256.0,536.75
2021-10-01,75.87999725341797,4.19350004196167,1246.5,541.5
2021-10-04,77.62000274658203,4.246500015258789,1235.75,540.75
2021-10-05,78.93000030517578,4.202000141143799,1250.5,537.5
2021-10-06,77.43000030517578,4.1570000648498535,1242.0,532.25
2021-10-07,78.30000305175781,4.250999927520752,1247.25,534.0
2021-10-08,79.3499984741211,4.2829999923706055,1243.0,530.5
2021-10-11,80.5199966430664,4.374499797821045,1228.25,533.0
2021-10-12,80.63999938964844,4.328999996185303,1198.25,522.5
2021-10-13,80.44000244140625,4.520500183105469,1195.25,512.25
2021-10-14,81.30999755859375,4.631499767303467,1206.25,516.75
2021-10-15,82.27999877929688,4.734000205993652,1217.75,525.75
2021-10-18,82.44000244140625,4.730500221252441,1221.5,532.75
2021-10-19,82.95999908447266,4.714000225067139,1228.0,530.25
2021-10-20,83.87000274658203,4.75600004196167,1245.5,539.25
2021-10-21,82.5,4.58650016784668,1224.0,532.25
2021-10-22,83.76000213623047,4.526000022888184,1220.5,538.0
2021-10-25,83.76000213623047,4.551499843597412,1237.25,538.0
2021-10-26,84.6500015258789,4.486499786376953,1238.0,543.5
2021-10-27,82.66000366210938,4.38700008392334,1239.25,557.25
2021-10-28,82.80999755859375,4.4375,1233.75,562.75
2021-10-29,83.56999969482422,4.375500202178955,1235.75,568.25
2021-11-01,84.05000305175781,4.4019999504089355,1236.75,579.0
2021-11-02,83.91000366210938,4.374000072479248,1244.0,573.0
2021-11-03,80.86000061035156,4.326000213623047,1231.5,564.0
2021-11-04,78.80999755859375,4.326000213623047,1209.25,559.25
2021-11-05,81.2699966430664,4.348999977111816,1192.25,553.0
