date,cpi_yoy,core_cpi_mom
2021-07-01,,0.359083885885525
2021-08-01,,0.1252476242427747
2021-09-01,,0.25125718197684943
2021-10-01,,0.704331099972122
2021-11-01,,0.6170384992260303
2021-12-01,,0.6259571074712644
2022-01-01,,0.5529840802300345
2022-02-01,,0.5286706165847699
2022-03-01,,0.27161752921707194
2022-04-01,,0.5044005313849409
2022-05-01,,0.5331928925972562
2022-06-01,8.979361103105798,0.6803326679517774
2022-07-01,8.462576727730099,0.35300119027377175
2022-08-01,8.222579178218826,0.4903621970395289
2022-09-01,8.192106896425821,0.5702530898544778
2022-10-01,7.758813957693,0.3933258669599482
2022-11-01,7.122856456533988,0.30928627016122423
2022-12-01,6.404600402357152,0.35594772329976543
2023-01-01,6.327178517960097,0.4140759271916483
2023-02-01,5.957820738137087,0.4893570621394172
2023-03-01,4.917719362889961,0.3367058722950844
2023-04-01,4.950079879124369,0.4545350273802429
2023-05-01,4.131851231385042,0.3647229997324919
2023-06-01,3.070617072997095,0.2177785289873002
2023-07-01,3.287749268428297,0.20692652486684615
2023-08-01,3.722504803505289,0.20067322630761275
2023-09-01,3.687206638119256,0.3097745332385715
2023-10-01,3.2512659098611785,0.29561504352111356
2023-11-01,3.1333462745911866,0.30020195404181216
2023-12-01,3.3159099427102934,0.25704883607775564
2024-01-01,3.0883429864855705,0.3588818467727739
2024-02-01,3.157074141648697,0.39609441363710474
2024-03-01,3.4868349120836584,0.3891445158509699
2024-04-01,3.3607951262196734,0.27052450819466944
2024-05-01,3.244278584003113,0.14040654936740005
2024-06-01,2.9702579486470926,0.09273959037392476
2024-07-01,2.9414757935583014,0.17274411884795615
2024-08-01,2.607144490692037,0.25396626324700744
2024-09-01,2.4264830315416708,0.30711493354182995
2024-10-01,2.578844053871343,0.3114750009353573
2024-11-01,2.719472461284833,0.28781808405158316
2024-12-01,2.870690967509981,0.18657583749928097
2025-01-01,2.9909783078999608,0.4265929177532435
2025-02-01,2.8015834477613355,0.2547452855180321
2025-03-01,2.381981462805549,0.06913185749619633
2025-04-01,2.32538823025783,0.23857041972428217
2025-05-01,2.3772651073680873,0.13048792067804627
2025-06-01,2.680453865910226,0.23402152998077685
2025-07-01,2.742618052167134,0.3125209822436803
2025-08-01,2.9385917430316155,0.3097218588179462
2025-09-01,3.0225715847133294,0.2177737336973129
2025-11-01,2.988299628363511,0.18915434389168428
2025-12-01,3.00226204316838,0.2329002576704653
2026-01-01,2.8286797395498997,0.2950448142634121
2026-02-01,2.6645890876940914,0.21605021740240815
2026-03-01,3.3202055812236786,0.19579505385114437
