date,sp500_close,ma50,ma200,price_vs_ma200_pct
2021-05-10,4188.43017578125,,,
2021-05-11,4152.10009765625,,,
2021-05-12,4063.0400390625,,,
2021-05-13,4112.5,,,
2021-05-14,4173.85009765625,,,
2021-05-17,4163.2900390625,,,
2021-05-18,4127.830078125,,,
2021-05-19,4115.68017578125,,,
2021-05-20,4159.1201171875,,,
2021-05-21,4155.85986328125,,,
2021-05-24,4197.0498046875,,,
2021-05-25,4188.1298828125,,,
2021-05-26,4195.990234375,,,
2021-05-27,4200.8798828125,,,
2021-05-28,4204.10986328125,,,
2021-06-01,4202.0400390625,,,
2021-06-02,4208.1201171875,,,
2021-06-03,4192.85009765625,,,
2021-06-04,4229.89013671875,,,
2021-06-07,4226.52001953125,,,
2021-06-08,4227.259765625,,,
2021-06-09,4219.5498046875,,,
2021-06-10,4239.18017578125,,,
2021-06-11,4247.43994140625,,,
2021-06-14,4255.14990234375,,,
2021-06-15,4246.58984375,,,
2021-06-16,4223.7001953125,,,
2021-06-17,4221.85986328125,,,
2021-06-18,4166.4501953125,,,
2021-06-21,4224.7900390625,,,
2021-06-22,4246.43994140625,,,
2021-06-23,4241.83984375,,,
2021-06-24,4266.490234375,,,
2021-06-25,4280.7001953125,,,
2021-06-28,4290.60986328125,,,
2021-06-29,4291.7998046875,,,
2021-06-30,4297.5,,,
2021-07-01,4319.93994140625,,,
2021-07-02,4352.33984375,,,
2021-07-06,4343.5400390625,,,
2021-07-07,4358.1298828125,,,
2021-07-08,4320.81982421875,,,
2021-07-09,4369.5498046875,,,
2021-07-12,4384.6298828125,,,
2021-07-13,4369.2099609375,,,
2021-07-14,4374.2998046875,,,
2021-07-15,4360.02978515625,,,
2021-07-16,4327.16015625,,,
2021-07-19,4258.490234375,,,
2021-07-20,4323.06005859375,4242.116591796875,,
2021-07-21,4358.68994140625,4245.521787109375,,
2021-07-22,4367.47998046875,4249.829384765625,,
2021-07-23,4411.7900390625,4256.804384765625,,
2021-07-26,4422.2998046875,4263.000380859375,,
2021-07-27,4401.4599609375,4267.552578125,,
2021-07-28,4400.64013671875,4272.299580078125,,
2021-07-29,4419.14990234375,4278.1259765625,,
2021-07-30,4395.259765625,4283.717568359375,,
2021-08-02,4387.16015625,4288.278369140625,,
2021-08-03,4423.14990234375,4293.624169921875,,
2021-08-04,4402.66015625,4297.736376953125,,
2021-08-05,4429.10009765625,4302.55578125,,
2021-08-06,4436.52001953125,4307.366376953125,,
2021-08-09,4432.35009765625,4311.99578125,,
2021-08-10,4436.75,4316.648583984375,,
2021-08-11,4442.41015625,4321.455986328125,,
2021-08-12,4460.830078125,4326.510185546875,,
2021-08-13,4468.0,4332.01318359375,,
2021-08-16,4479.7099609375,4337.009580078125,,
2021-08-17,4448.080078125,4341.44078125,,
2021-08-18,4400.27001953125,4344.900986328125,,
2021-08-19,4405.7998046875,4348.625986328125,,
2021-08-20,4441.669921875,4352.67578125,,
2021-08-23,4479.52978515625,4357.317578125,,
2021-08-24,4486.22998046875,4361.9391796875,,
2021-08-25,4496.18994140625,4366.931181640625,,
2021-08-26,4470.0,4371.857177734375,,
2021-08-27,4509.3701171875,4377.6073828125,,
2021-08-30,4528.7900390625,4384.8541796875,,
2021-08-31,4522.68017578125,4390.811982421875,,
2021-09-01,4524.08984375,4396.36498046875,,
2021-09-02,4536.9501953125,4402.2671875,,
2021-09-03,4535.43017578125,4407.645986328125,,
2021-09-07,4520.02978515625,4412.432578125,,
2021-09-08,4514.06982421875,4416.90177734375,,
2021-09-09,4493.27978515625,4420.931376953125,,
2021-09-10,4458.580078125,4424.152978515625,,
2021-09-13,4468.72998046875,4427.128779296875,,
2021-09-14,4443.0498046875,4428.942978515625,,
2021-09-15,4480.7001953125,4431.686181640625,,
2021-09-16,4473.75,4433.998583984375,,
2021-09-17,4432.990234375,4436.2419921875,,
2021-09-20,4357.72998046875,4436.005595703125,,
2021-09-21,4354.18994140625,4435.396796875,,
2021-09-22,4395.64013671875,4435.925400390625,,
2021-09-23,4448.97998046875,4437.41900390625,,
2021-09-24,4455.47998046875,4439.3280078125,,
2021-09-27,4443.10986328125,4441.647001953125,,
2021-09-28,4352.6298828125,4443.529794921875,,
2021-09-29,4359.4599609375,4444.25779296875,,
2021-09-30,4307.5400390625,4443.234794921875,,
2021-10-01,4357.0400390625,4443.02599609375,,
2021-10-04,4300.4599609375,4440.79939453125,,
2021-10-05,4345.72021484375,4439.267802734375,,
2021-10-06,4363.5498046875,4438.509599609375,,
2021-10-07,4399.759765625,4438.4919921875,,
2021-10-08,4391.33984375,4437.935791015625,,
2021-10-11,4361.18994140625,4437.25439453125,,
2021-10-12,4350.64990234375,4436.524189453125,,
2021-10-13,4363.7998046875,4435.3371875,,
2021-10-14,4438.259765625,4436.0491796875,,
2021-10-15,4471.3701171875,4436.894580078125,,
2021-10-18,4486.4599609375,4437.89337890625,,
2021-10-19,4519.6298828125,4439.638974609375,,
2021-10-20,4536.18994140625,4441.6277734375,,
2021-10-21,4549.77978515625,4443.775166015625,,
2021-10-22,4544.89990234375,4445.4565625,,
2021-10-25,4566.47998046875,4447.426162109375,,
2021-10-26,4574.7900390625,4449.327763671875,,
2021-10-27,4551.68017578125,4451.399765625,,
2021-10-28,4596.419921875,4455.322763671875,,
2021-10-29,4605.3798828125,4459.314365234375,,
2021-11-01,4613.669921875,4462.754365234375,,
2021-11-02,4630.64990234375,4465.776767578125,,
2021-11-03,4660.56982421875,4469.263564453125,,
2021-11-04,4680.06005859375,4472.940966796875,,
2021-11-05,4697.52978515625,4477.4915625,,
2021-11-08,4701.7001953125,4481.3381640625,,
2021-11-09,4685.25,4484.46736328125,,
2021-11-10,4646.7099609375,4486.947958984375,,
2021-11-11,4649.27001953125,4489.4515625,,
2021-11-12,4682.85009765625,4492.369560546875,,
2021-11-15,4682.7998046875,4495.316953125,,
2021-11-16,4700.89990234375,4498.93435546875,,
2021-11-17,4688.669921875,4502.426357421875,,
2021-11-18,4704.5400390625,4506.6515625,,
2021-11-19,4697.9599609375,4511.43916015625,,
2021-11-22,4682.93994140625,4515.723359375,,
2021-11-23,4690.7001953125,4520.6763671875,,
2021-11-24,4701.4599609375,4525.0915625,,
2021-11-26,4594.6201171875,4527.50896484375,,
2021-11-29,4655.27001953125,4531.954560546875,,
2021-11-30,4567.0,4536.1399609375,,
2021-12-01,4513.0400390625,4539.316962890625,,
2021-12-02,4577.10009765625,4542.946162109375,,
2021-12-03,4538.43017578125,4544.735166015625,,
2021-12-06,4591.669921875,4547.45896484375,,
2021-12-07,4686.75,4552.331767578125,,
2021-12-08,4701.2099609375,4559.303369140625,,
2021-12-09,4667.4501953125,4565.463173828125,,
2021-12-10,4712.02001953125,4573.5527734375,,
2021-12-13,4668.97021484375,4579.791376953125,,
2021-12-14,4634.08984375,4586.463974609375,,
2021-12-15,4709.85009765625,4593.746572265625,,
2021-12-16,4668.669921875,4599.848974609375,,
2021-12-17,4620.64013671875,4604.26658203125,,
2021-12-20,4568.02001953125,4607.800185546875,,
2021-12-21,4649.22998046875,4613.560986328125,,
2021-12-22,4696.56005859375,4620.479189453125,,
2021-12-23,4725.7900390625,4627.718994140625,,
2021-12-27,4791.18994140625,4634.77759765625,,
2021-12-28,4786.35009765625,4641.077197265625,,
2021-12-29,4793.06005859375,4647.20919921875,,
2021-12-30,4778.72998046875,4652.391201171875,,
2021-12-31,4766.18017578125,4656.991005859375,,
2022-01-03,4796.56005859375,4661.926611328125,,
2022-01-04,4793.5400390625,4666.8994140625,,
2022-01-05,4700.580078125,4669.581416015625,,
2022-01-06,4696.0498046875,4672.006611328125,,
2022-01-07,4677.02978515625,4674.513603515625,,
2022-01-10,4670.2900390625,4675.991005859375,,
2022-01-11,4713.06982421875,4678.1448046875,,
2022-01-12,4726.35009765625,4680.398408203125,,
2022-01-13,4659.02978515625,4680.966005859375,,
2022-01-14,4662.85009765625,4681.011611328125,,
2022-01-18,4577.10986328125,4678.952607421875,,
2022-01-19,4532.759765625,4675.65720703125,,
2022-01-20,4482.72998046875,4671.277802734375,,
2022-01-21,4397.93994140625,4665.5316015625,,
2022-01-24,4410.1298828125,4660.8,,
2022-01-25,4356.4501953125,4654.943603515625,,
2022-01-26,4349.93017578125,4648.285205078125,,
2022-01-27,4326.509765625,4641.159404296875,,
2022-01-28,4431.85009765625,4635.778408203125,,
2022-01-31,4515.5498046875,4632.316005859375,,
2022-02-01,4546.5400390625,4629.156005859375,,
2022-02-02,4589.3798828125,4626.984404296875,,
2022-02-03,4477.43994140625,4622.874404296875,,
2022-02-04,4500.52978515625,4619.07099609375,,
2022-02-07,4483.8701171875,4614.71919921875,,
2022-02-08,4521.5400390625,4613.25759765625,,
2022-02-09,4587.18017578125,4611.89580078125,,
2022-02-10,4504.080078125,4610.63740234375,,
2022-02-11,4418.64013671875,4608.749404296875,,
2022-02-14,4401.669921875,4605.24080078125,,
2022-02-15,4471.06982421875,4603.89359375,,
2022-02-16,4475.009765625,4601.560390625,,
2022-02-17,4380.259765625,4595.4305859375,,
2022-02-18,4348.8701171875,4588.3837890625,,
2022-02-22,4304.759765625,4581.12998046875,4458.241884765625,-3.4426602034558274
2022-02-23,4225.5,4571.399580078125,4458.427233886719,-5.224426051328868
2022-02-24,4288.7001953125,4563.7941796875,4459.110234375,-3.8216153022820443
2022-02-25,4384.64990234375,4558.805380859375,4460.718283691406,-1.7052944505768441
2022-02-28,4373.93994140625,4552.087177734375,4462.025483398437,-1.9741156190147602
2022-03-01,4306.259765625,4544.838974609375,4462.687531738281,-3.50523681079572
2022-03-02,4386.5400390625,4540.15697265625,4463.803781738281,-1.7308946910227552
2022-03-03,4363.490234375,4536.066376953125,4464.982082519531,-2.273062831357675
2022-03-04,4328.8701171875,4529.6591796875,4466.048032226562,-3.0715727652098623
2022-03-07,4201.08984375,4519.749775390625,4466.257880859375,-5.937141208208807
2022-03-08,4170.7001953125,4508.647978515625,4466.3320825195315,-6.619120158218528
2022-03-09,4277.8798828125,4498.38177734375,4466.736232910156,-4.228061390914339
2022-03-10,4259.52001953125,4487.84517578125,4467.09318359375,-4.64671667976061
2022-03-11,4204.31005859375,4476.07017578125,4467.134782714844,-5.88351900950178
2022-03-14,4173.10986328125,4463.9577734375,4466.9959326171875,-6.579053882499308
2022-03-15,4262.4501953125,4453.883173828125,4467.287634277343,-4.5852753557467985
2022-03-16,4357.85986328125,4445.109169921875,4468.0667333984375,-2.4665448546996815
2022-03-17,4411.669921875,4437.471767578125,4469.084482421875,-1.2847051957218913
2022-03-18,4463.1201171875,4432.722568359375,4470.435832519532,-0.16364657957540496
2022-03-21,4461.18017578125,4428.02517578125,4471.592282714843,-0.23285009623622566
2022-03-22,4511.60986328125,4424.71677734375,4473.0177319335935,0.862776176185065
2022-03-23,4456.240234375,4420.43578125,4474.162634277343,-0.4005755125000787
2022-03-24,4520.16015625,4416.577587890625,4475.665686035156,0.9941419519709616
2022-03-25,4543.06005859375,4412.911787109375,4477.185085449219,1.4713479985141609
2022-03-28,4575.52001953125,4411.241591796875,4478.825485839844,2.1589261291182993
2022-03-29,4631.60009765625,4410.616591796875,4480.707736816406,3.3676010510574894
2022-03-30,4602.4501953125,4411.1233984375,4482.487038574219,2.6762633267187086
2022-03-31,4530.41015625,4411.07640625,4484.020588378906,1.0345529632785455
2022-04-01,4545.85986328125,4412.33900390625,4485.640588378907,1.3424899680628766
2022-04-04,4582.64013671875,4416.0330078125,4487.721538085938,2.1150732688574037
2022-04-05,4525.1201171875,4418.3328125,4489.223188476562,0.7996245052614315
2022-04-06,4481.14990234375,4420.826806640625,4490.39673828125,-0.20592469833833338
2022-04-07,4500.2099609375,4423.83240234375,4491.688588867188,0.18971422220661616
2022-04-08,4488.27978515625,4427.067802734375,4492.797536621094,-0.10055542071547574
2022-04-11,4412.52978515625,4426.681396484375,4493.456684570312,-1.8009943145095852
2022-04-12,4397.4501953125,4424.319404296875,4493.990886230469,-2.148217327582236
2022-04-13,4446.58984375,4422.320400390625,4494.764836425781,-1.071802295091584
2022-04-14,4392.58984375,4418.384599609375,4495.2402856445315,-2.2835362599490816
2022-04-18,4391.68994140625,4416.669599609375,4495.599035644531,-2.311351466498912
2022-04-19,4462.2099609375,4415.903203125,4496.1483862304685,-0.7548333012519226
2022-04-20,4459.4501953125,4415.4148046875,4496.7279370117185,-0.8289970445486072
2022-04-21,4393.66015625,4412.85720703125,4496.905588378906,-2.2959217199426507
2022-04-22,4271.77978515625,4406.54919921875,4496.660388183594,-5.001058199064556
2022-04-25,4296.1201171875,4402.39,4496.293239746094,-4.45195879995357
2022-04-26,4175.2001953125,4397.521201171875,4495.246091308593,-7.119652394890929
2022-04-27,4183.9599609375,4393.167001953125,4494.319841308594,-6.905602879405381
2022-04-28,4287.5,4389.49560546875,4493.885842285156,-4.592592013423468
2022-04-29,4131.93017578125,4382.634013671875,4492.745344238281,-8.031062097026231
2022-05-02,4155.3798828125,4378.136416015625,4491.886442871094,-7.4914307015185315
2022-05-03,4175.47998046875,4374.66861328125,4491.471391601563,-7.035365108273273
2022-05-04,4300.169921875,4374.57681640625,4491.356940917969,-4.2567763274653725
2022-05-05,4146.8701171875,4373.00421875,4490.297841796875,-7.6482170383590065
2022-05-06,4123.33984375,4369.69701171875,4489.077141113281,-8.14727138488377
2022-05-09,3991.239990234375,4361.828813476563,4486.974390869141,-11.048300200767148
2022-05-10,4001.050048828125,4354.371015625,4484.868142089844,-10.787788580028824
2022-05-11,3935.179931640625,4346.949418945313,4482.53674194336,-12.210871696400938
2022-05-12,3930.080078125,4337.820219726563,4480.183941650391,-12.278599956830028
2022-05-13,4023.889892578125,4331.028212890625,4478.2076416015625,-10.145080027172604
2022-05-16,4008.010009765625,4324.611010742187,4476.271392822266,-10.460969453449609
2022-05-17,4088.85009765625,4322.366215820312,4474.779842529297,-8.624552680895835
2022-05-18,3923.679931640625,4317.425810546875,4472.282492675781,-12.26672424949895
2022-05-19,3900.7900390625,4309.884013671875,4469.7731420898435,-12.72957452067277
2022-05-20,3901.360107421875,4302.720815429688,4467.134442138672,-12.665263202732902
2022-05-23,3973.75,4298.109614257813,4464.8205920410155,-10.998663483061277
2022-05-24,3941.47998046875,4293.477016601562,4462.366241455078,-11.672871136110041
2022-05-25,3978.72998046875,4287.8026123046875,4460.076141357422,-10.79233057088963
2022-05-26,4057.840087890625,4281.802216796875,4458.153291015625,-8.979350349655723
2022-05-27,4158.240234375,4276.733623046875,4456.640341796875,-6.695629095830579
2022-05-31,4132.14990234375,4270.11421875,4454.9610913085935,-7.2461056864140065
2022-06-01,4101.22998046875,4262.91521484375,4453.06869140625,-7.901039380247954
2022-06-02,4176.81982421875,4256.2194140625,4451.712390136719,-6.174984855873101
2022-06-03,4108.5400390625,4249.26541015625,4450.253740234375,-7.678521745456212
2022-06-06,4121.43017578125,4241.290810546875,4448.831892089844,-7.359273720607962
2022-06-07,4160.68017578125,4233.643212890625,4447.426943359375,-6.447475612978382
2022-06-08,4115.77001953125,4224.448212890625,4445.60814453125,-7.419415168333032
2022-06-09,4017.820068359375,4212.172612304687,4443.266094970703,-9.57507422508157
2022-06-10,3900.860107421875,4198.140810546875,4440.289445800781,-12.14851745507377
2022-06-13,3749.6298828125,4182.525205078125,4436.687595214844,-15.485825802640797
2022-06-14,3735.47998046875,4166.317607421875,4432.81814453125,-15.731260370398992
2022-06-15,3789.989990234375,4150.464604492187,4429.12414428711,-14.430260548851848
2022-06-16,3666.77001953125,4133.297602539063,4424.844593505859,-17.132230476234135
