date,oer_yoy
2022-06-01,5.489971647896663
2022-07-01,5.844371342901233
2022-08-01,6.296457607433226
2022-09-01,6.6731630584704105
2022-10-01,6.884293666921892
2022-11-01,7.1318020532986415
2022-12-01,7.524530305668864
2023-01-01,7.751554490323365
2023-02-01,8.010426601986254
2023-03-01,8.036388428727603
2023-04-01,8.116238645284302
2023-05-01,8.051100221326513
2023-06-01,7.819951782684398
2023-07-01,7.667236912312347
2023-08-01,7.32179685045824
2023-09-01,7.066202959521406
2023-10-01,6.846183055010213
2023-11-01,6.68994207900262
2023-12-01,6.347474232552219
2024-01-01,6.228181969302371
2024-02-01,5.977255456856101
2024-03-01,5.906022066742622
2024-04-01,5.7461964738129145
2024-05-01,5.649990067822563
2024-06-01,5.450629343341884
2024-07-01,5.307525870899665
2024-08-01,5.3765821898805966
2024-09-01,5.197238334189924
2024-10-01,5.1929033932950786
2024-11-01,4.928897592974768
2024-12-01,4.805452570872193
2025-01-01,4.595979542513362
2025-02-01,4.430559710810744
2025-03-01,4.382930210454528
2025-04-01,4.304442504438577
2025-05-01,4.151100041511002
2025-06-01,4.155173882877072
2025-07-01,4.069231515621952
2025-08-01,3.9716144179047674
2025-09-01,3.7604661293311636
2025-11-01,3.6343074018344135
2025-12-01,3.6891171402829936
2026-01-01,3.583670999754629
2026-02-01,3.4954190750758674
2026-03-01,3.47831234018372
