date,xlk_vs_spy,xly_vs_spy,xlu_vs_spy
2021-05-10,32.425707039287936,41.742833899602815,15.961621285351962
2021-05-11,32.618719972960584,41.64312788199223,15.907389971270614
2021-05-12,32.38943291976024,41.10653412594657,15.872820108038773
2021-05-13,32.42907282831238,40.906210392902416,15.986643268012092
2021-05-14,32.641989533823036,40.98612511402372,15.821690911709634
2021-05-17,32.484597612629955,41.01607624181749,15.732094724682327
2021-05-18,32.504733699082394,41.04966742729523,15.866388308977037
2021-05-19,32.70457090006328,40.81195541060215,15.881322104853234
2021-05-20,32.97534193796957,40.79175496050858,15.84954729339241
2021-05-21,32.82161276329108,40.62033065021449,15.944473899840942
2021-05-24,33.06772908366534,40.60882219624496,15.754944294677578
2021-05-25,33.15082249426167,40.828232593726085,15.598699311400152
2021-05-26,33.08277853341923,41.13632567351516,15.57019113751879
2021-05-27,32.891316272746785,41.27930549261848,15.4570822104033
2021-05-28,32.94924292924483,41.14846205123322,15.512808303971049
2021-06-01,32.81626039507232,41.10610717945052,15.43117211142088
2021-06-02,32.99074536673566,40.85123593367116,15.487830989936477
2021-06-03,32.805597344604436,40.51627384960718,15.638656064187979
2021-06-04,33.132986275437766,40.470894462849024,15.473260766682442
2021-06-07,33.15805679907151,40.51019683081078,15.516710485800234
2021-06-08,33.153357961542106,40.828360329639104,15.380789997158285
2021-06-09,33.22660974742085,40.66405786789992,15.54132574410056
2021-06-10,33.316021812516226,40.66712306130639,15.570926087674982
2021-06-11,33.45902759774693,40.82156913577337,15.58058966321793
2021-06-14,33.72289893241781,40.742134223768986,15.57870479236232
2021-06-15,33.577553712777984,40.60026385224274,15.654447794949114
2021-06-16,33.58366302622539,40.847172537964035,15.505436971405558
2021-06-17,33.98345853970661,41.014764082754695,15.59589544280399
2021-06-18,34.24515569266365,41.492335871975314,15.448761206979656
2021-06-21,34.06120800266122,41.16095613743287,15.309128926483867
2021-06-22,34.18732717260287,41.327314409964316,15.13554394838222
2021-06-23,34.19072408897302,41.69663984855656,14.992901088499764
2021-06-24,34.20371677252411,41.59256645495177,14.890613973182779
2021-06-25,34.04280255971496,41.70788307822132,14.99730432948126
2021-06-28,34.32989449552015,41.633330993987876,15.063045359908298
2021-06-29,34.5616086041618,41.71381809679682,14.811783960720131
2021-06-30,34.495164229313644,41.71144232116993,14.77129374386768
2021-07-01,34.363311107497154,41.71642311177195,14.850266013056713
2021-07-02,34.552245688462605,41.76427188047588,14.760675089919761
2021-07-06,34.74695678285173,41.888988982052524,14.849975746656504
2021-07-07,34.81333149196704,41.718455093679516,14.8943516088938
2021-07-08,34.767474241158446,41.95674371112968,14.972616727002691
2021-07-09,34.71711976487876,41.90163482733284,14.83284349742836
2021-07-12,34.620664409261465,42.038070833714656,14.82794911686648
2021-07-13,34.88142519341583,41.67680617094056,14.766179205215913
2021-07-14,35.08619108747478,41.5390610673024,14.872547221712818
2021-07-15,34.91661874640598,41.45600920069005,15.091431857389303
2021-07-16,34.84490193350953,41.26906848425836,15.363750173876756
2021-07-19,34.880109184177705,41.40762877379579,15.346965668164811
2021-07-20,34.89769405651186,41.57657866654294,15.195100450053356
2021-07-21,34.95109883787826,41.62236796686227,14.907375445863538
2021-07-22,35.13525926606347,41.71450879529693,14.899187066550315
2021-07-23,35.12297131427013,41.65795335727599,14.936127653770967
2021-07-26,35.0188200081629,41.864314543558116,14.904085982495127
2021-07-27,34.846586638117586,41.63003120657844,15.2297214186465
2021-07-28,34.81758311874758,41.512658660529134,15.119750244969577
2021-07-29,34.834902984227845,41.806422330647905,15.098150459548396
2021-07-30,34.982098469818254,41.146154021573054,15.044126701785594
2021-08-02,34.929957265933865,41.35149340707054,15.192303297607351
2021-08-03,34.87022554686615,41.321545959424235,15.155842683894369
2021-08-04,35.113217003052526,41.12260239646453,15.207982140416421
2021-08-05,35.08466135458168,41.25543281419775,15.277526258601956
2021-08-06,34.997401071210646,40.907139144387436,15.243282334064048
