date,m2_yoy
2022-06-01,5.733722060252688
2022-07-01,4.941041907983701
2022-08-01,3.8266468976569934
2022-09-01,2.6476335732329215
2022-10-01,1.4215030693691677
2022-11-01,0.3308976888718007
2022-12-01,-0.9665655757530645
2023-01-01,-1.7117782909930601
2023-02-01,-2.2182022389158784
2023-03-01,-3.8555455596966937
2023-04-01,-4.630790785272964
2023-05-01,-4.097239807546216
2023-06-01,-3.934654892107603
2023-07-01,-3.9791620483263124
2023-08-01,-3.9790740449760165
2023-09-01,-3.662154946254037
2023-10-01,-3.3949164783449337
2023-11-01,-3.083175670941074
2023-12-01,-2.4099384716546823
2024-01-01,-2.046580260721642
2024-02-01,-1.4852021145888794
2024-03-01,0.12937536998491872
2024-04-01,0.9551379001416116
2024-05-01,0.9169643200061417
2024-06-01,1.293793541128796
2024-07-01,1.4626380391704163
2024-08-01,1.9713917178445506
2024-09-01,2.51448346330696
2024-10-01,2.889127907818012
2024-11-01,3.40153760875328
2024-12-01,3.4074665870949428
2025-01-01,3.378446451959549
2025-02-01,3.2784770205567693
2025-03-01,3.431407606596748
2025-04-01,3.892708388001731
2025-05-01,3.8690617774944647
2025-06-01,4.131305652066586
2025-07-01,4.3834408612345
2025-08-01,4.248871939131926
2025-09-01,4.235172430005396
2025-10-01,4.28091262381689
2025-11-01,3.8471578672583773
2025-12-01,4.0384624335028985
2026-01-01,4.0894556828676265
2026-02-01,4.690586901704941
2026-03-01,4.574621086403363
