date,close,volume,volume_ma20
2021-05-10,417.94,81852446.0,
2021-05-11,414.21,116887975.0,
2021-05-12,405.41,134811046.0,
2021-05-13,410.28,106393963.0,
2021-05-14,416.58,82201629.0,
2021-05-17,415.52,65129221.0,
2021-05-18,411.94,59810238.0,
2021-05-19,410.86,106467052.0,
2021-05-20,415.28,78022218.0,
2021-05-21,414.94,76578662.0,
2021-05-24,419.17,51376702.0,
2021-05-25,418.24,57451396.0,
2021-05-26,419.07,43088618.0,
2021-05-27,419.29,56707677.0,
2021-05-28,420.04,58520164.0,
2021-06-01,419.67,54216625.0,
2021-06-02,420.33,49097061.0,
2021-06-03,418.77,58138763.0,
2021-06-04,422.6,55938789.0,
2021-06-07,422.19,51555032.0,72212263.85
2021-06-08,422.28,47134279.0,70476355.5
2021-06-09,421.65,48436342.0,67053773.85
2021-06-10,423.61,51020147.0,62864228.9
2021-06-11,424.31,45570828.0,59823072.15
2021-06-14,425.26,42358478.0,57830914.6
2021-06-15,424.48,51508508.0,57149878.95
2021-06-16,422.11,80386082.0,58178671.15
2021-06-17,421.97,90949659.0,57402801.5
2021-06-18,414.92,118676302.0,59435505.7
2021-06-21,420.86,72822028.0,59247674.0
2021-06-22,423.11,57700303.0,59563854.05
2021-06-23,422.6,49445414.0,59163554.95
2021-06-24,425.1,45110288.0,59264638.45
2021-06-25,426.61,58129525.0,59335730.85
2021-06-28,427.47,53159581.0,59067701.7
2021-06-29,427.7,35970515.0,58155396.2
2021-06-30,428.06,64827858.0,58941936.05
2021-07-01,430.43,53441027.0,58707049.25
2021-07-02,433.72,57697668.0,58794993.2
2021-07-06,432.93,68710419.0,59652762.55
2021-07-07,434.46,63549456.0,60473521.4
2021-07-08,430.92,97595232.0,62931465.9
2021-07-09,435.52,76238584.0,64192387.75
2021-07-12,437.08,52889585.0,64558325.6
2021-07-13,435.59,52911312.0,65085967.3
2021-07-14,436.24,64130352.0,65717059.5
2021-07-15,434.75,55126358.0,64454073.3
2021-07-16,431.34,75874662.0,63700323.45
2021-07-19,424.97,147987000.0,65165858.35
2021-07-20,431.06,99608174.0,66505165.65
2021-07-21,434.55,64724389.0,66856369.95
2021-07-22,435.46,47878539.0,66778026.2
2021-07-23,439.94,63766637.0,67710843.65
2021-07-26,441.02,43719187.0,66990326.75
2021-07-27,439.01,67397137.0,67702204.55
2021-07-28,438.83,52472360.0,68527296.8
2021-07-29,440.65,47435342.0,67657671.0
2021-07-30,438.51,68951202.0,68433179.75
2021-08-02,437.59,58783297.0,68487461.2
2021-08-03,441.15,58053896.0,67954635.05
2021-08-04,438.98,46732212.0,67113772.85
2021-08-05,441.76,38969659.0,64182494.2
2021-08-06,442.49,46930008.0,62717065.4
2021-08-09,442.13,41222585.0,62133715.4
2021-08-10,442.68,43339275.0,61655113.55
2021-08-11,443.78,44034340.0,60650312.95
2021-08-12,445.11,38942418.0,59841115.95
2021-08-13,445.92,39470251.0,58020895.4
2021-08-16,446.97,73930864.0,54318088.6
2021-08-17,444.04,92673933.0,53971376.55
2021-08-18,439.18,89351931.0,55202753.65
2021-08-19,439.86,92812246.0,57449439.0
2021-08-20,443.36,72008712.0,57861542.75
2021-08-23,447.26,54973038.0,58424235.3
2021-08-24,447.97,38744714.0,56991614.15
2021-08-25,448.91,40529711.0,56394481.7
2021-08-26,446.26,57829572.0,56914193.2
2021-08-27,450.25,77235113.0,57328388.75
2021-08-30,452.23,48357355.0,56807091.65
2021-08-31,451.56,59300213.0,56869407.5
2021-09-01,451.8,48721378.0,56968865.8
2021-09-02,453.19,42830867.0,57161926.2
2021-09-03,453.08,47234364.0,57177144.0
2021-09-07,451.46,51671534.0,57699591.45
2021-09-08,450.91,56181907.0,58341723.05
2021-09-09,448.98,57970407.0,59038526.4
2021-09-10,445.44,89948174.0,61588814.2
2021-09-13,446.58,83738649.0,63802234.1
2021-09-14,444.17,78197140.0,64015547.9
2021-09-15,447.88,78792222.0,63321462.35
2021-09-16,447.17,77786735.0,62743202.55
2021-09-17,441.4,118425037.0,64023842.1
2021-09-20,434.04,166445534.0,68745683.2
2021-09-21,433.63,92526112.0,70623336.9
2021-09-22,437.86,102350143.0,73803608.35
2021-09-23,443.18,76395981.0,75596921.85
2021-09-24,443.91,62094837.0,75810185.1
2021-09-27,442.64,61371108.0,75016984.85
2021-09-28,433.72,130436306.0,79120932.4
2021-09-29,434.45,82329213.0,80272382.4
2021-09-30,429.14,140505979.0,84861612.45
2021-10-01,434.24,129240106.0,89182074.4
2021-10-04,428.64,128569957.0,93248854.05
2021-10-05,433.1,90682520.0,95199403.35
2021-10-06,434.9,113032245.0,98041920.25
2021-10-07,438.66,72437499.0,98765274.85
2021-10-08,437.86,74557404.0,97995736.35
2021-10-11,434.69,65233285.0,97070468.15
2021-10-12,433.62,71181163.0,96719669.3
2021-10-13,435.18,72973979.0,96428757.15
2021-10-14,442.5,70236825.0,96051261.65
2021-10-15,445.87,66260210.0,93443020.3
2021-10-18,447.19,62213228.0,88231405.0
2021-10-19,450.64,46996827.0,85954940.75
2021-10-20,452.41,49571569.0,83316012.05
2021-10-21,453.59,41305438.0,81561484.9
2021-10-22,453.12,58845088.0,81398997.45
2021-10-25,455.55,45214507.0,80591167.4
2021-10-26,455.96,56075116.0,76873107.9
2021-10-27,453.94,72437997.0,76378547.1
2021-10-28,458.32,51437944.0,71925145.35
2021-10-29,459.25,70162424.0,68971261.25
2021-11-01,460.04,48433642.0,64964445.5
2021-11-02,461.9,48908417.0,62875740.35
2021-11-03,464.72,52509825.0,59849619.35
2021-11-04,466.91,52847087.0,58870098.75
2021-11-05,468.53,66390563.0,58461756.7
2021-11-08,468.93,50405194.0,57720352.15
2021-11-09,467.38,51149147.0,56718751.35
2021-11-10,463.62,69429653.0,56541535.05
2021-11-11,463.77,34848495.0,54772118.55
2021-11-12,467.27,53466654.0,54132440.75
2021-11-15,467.43,46980500.0,53370804.35
2021-11-16,469.28,48857502.0,53463838.1
2021-11-17,468.14,47858289.0,53378174.1
2021-11-18,469.73,50625607.0,53844182.55
2021-11-19,468.89,57315573.0,53767706.8
2021-11-22,467.57,72761954.0,55145079.15
2021-11-23,468.19,73206538.0,56001650.25
2021-11-24,469.44,61858813.0,55472691.05
2021-11-26,458.97,112669636.0,58534275.65
2021-11-29,464.6,86268818.0,59339595.35
2021-11-30,455.56,148559598.0,64345893.15
2021-12-01,450.5,132485835.0,68524764.05
2021-12-02,457.4,127637758.0,72281160.7
2021-12-03,453.42,137331647.0,76505388.7
2021-12-06,458.79,98977532.0,78134737.15
2021-12-07,468.28,95484688.0,80388711.85
2021-12-08,469.52,72238777.0,81443193.35
2021-12-09,466.35,61272568.0,81035339.1
2021-12-10,470.74,77159757.0,83150902.2
2021-12-13,466.57,87724680.0,84863803.5
2021-12-14,463.36,97264128.0,87377984.9
2021-12-15,470.6,116899251.0,90780072.35
2021-12-16,466.45,116568626.0,94215589.2
2021-12-17,459.87,135636510.0,98466134.35
2021-12-20,454.98,107134822.0,100957096.8
2021-12-21,463.06,69806260.0,100809312.1
2021-12-22,467.69,58890223.0,100093496.35
2021-12-23,470.6,56439745.0,99822542.95
2021-12-27,477.26,56808619.0,97029492.1
2021-12-28,476.87,47274585.0,95079780.45
2021-12-29,477.48,54502964.0,90376948.75
2021-12-30,476.16,55329041.0,86519109.05
2021-12-31,474.96,65237431.0,83399092.7
2022-01-03,477.71,72668233.0,80165922.0
2022-01-04,477.55,71178678.0,78775979.3
2022-01-05,468.38,104538940.0,79228691.9
2022-01-06,467.94,86858900.0,79959698.05
2022-01-07,466.09,85111593.0,81151649.3
2022-01-10,465.51,119361989.0,83261760.9
2022-01-11,469.75,74303062.0,82590680.0
2022-01-12,471.02,67605444.0,81107745.8
2022-01-13,464.53,91173121.0,79821439.3
2022-01-14,464.72,95890948.0,78787555.4
2022-01-18,456.49,109872376.0,77499348.7
2022-01-19,451.75,109357569.0,77610486.05
2022-01-20,446.75,122379696.0,80239157.85
2022-01-21,437.98,202271241.0,87408208.75
2022-01-24,439.84,252496719.0,97211057.45
2022-01-25,434.47,167997325.0,102770492.75
2022-01-26,433.38,186391088.0,109726317.9
2022-01-27,431.24,149878307.0,114495085.05
2022-01-28,441.95,164457370.0,119951501.5
2022-01-31,449.91,152251425.0,124302201.2
2022-02-01,452.95,123155382.0,126826558.65
2022-02-02,457.35,117360953.0,129135672.4
2022-02-03,446.6,118024442.0,129809947.5
2022-02-04,448.7,118454352.0,131389720.1
2022-02-07,447.26,84472859.0,131357783.4
2022-02-08,450.94,81012036.0,129440285.75
2022-02-09,457.54,92589929.0,130354629.1
2022-02-10,449.32,140103712.0,133979542.5
2022-02-11,440.46,153214597.0,137081616.3
2022-02-14,439.02,123006262.0,138437382.0
2022-02-15,446.1,88659503.0,137376738.35
2022-02-16,446.6,84863585.0,136152039.15
2022-02-17,437.06,102259108.0,135146009.75
2022-02-18,434.23,132642896.0,131664592.5
