date,sp500_eps_actual
2021-05-31,182.25021362304688
2021-06-30,192.95321655273438
2021-07-31,198.7263641357422
2021-08-31,204.99978637695312
2021-09-30,211.10952758789062
2021-10-31,218.32412719726562
2021-11-30,226.1669464111328
2021-12-31,234.35716247558594
2022-01-31,232.41726684570312
2022-02-28,230.3291015625
2022-03-31,227.30972290039062
2022-04-30,223.89671325683594
2022-05-31,219.32785034179688
2022-06-30,214.2571563720703
2022-07-31,212.35801696777344
2022-08-31,210.5081787109375
2022-09-30,208.13539123535156
2022-10-31,202.00169372558594
2022-11-30,196.9077911376953
2022-12-31,192.19970703125
2023-01-31,191.5655517578125
2023-02-28,191.3875732421875
2023-03-31,191.6385498046875
2023-04-30,192.79287719726562
2023-05-31,194.4221954345703
2023-06-30,195.90328979492188
2023-07-31,196.6969451904297
2023-08-31,197.00323486328125
2023-09-30,197.67355346679688
2023-10-31,200.67581176757812
2023-11-30,204.01336669921875
2023-12-31,207.15147399902344
2024-01-31,205.65797424316406
2024-02-29,204.02395629882812
2024-03-31,202.34707641601562
2024-04-30,203.15609741210938
2024-05-31,204.41021728515625
2024-06-30,205.93182373046875
2024-07-31,207.21160888671875
2024-08-31,208.5606231689453
2024-09-30,209.74166870117188
2024-10-31,212.95257568359375
2024-11-30,216.52195739746094
2024-12-31,219.8978729248047
2025-01-31,220.7268829345703
2025-02-28,221.99996948242188
2025-03-31,223.746337890625
2025-04-30,225.0554656982422
2025-05-31,226.58604431152344
2025-06-30,227.8090057373047
2025-07-31,231.39414978027344
2025-08-31,234.64866638183594
2025-09-30,237.96075439453125
2025-09-30,237.96075439453125
