date,shiller_cape
2021-06-01,36.696258544921875
2021-07-01,37.443382263183594
2021-08-01,37.97355651855469
2021-09-01,37.620506286621094
2021-10-01,37.25333786010742
2021-11-01,38.58305740356445
2021-12-01,38.305328369140625
2022-01-01,36.93721389770508
2022-02-01,35.28758239746094
2022-03-01,34.271217346191406
2022-04-01,33.88957595825195
2022-05-01,30.673526763916016
2022-06-01,29.048070907592773
2022-07-01,29.004966735839844
2022-08-01,30.6992244720459
2022-09-01,28.230478286743164
2022-10-01,27.081581115722656
2022-11-01,28.37997055053711
2022-12-01,28.31800079345703
2023-01-01,28.33591079711914
2023-02-01,28.92087745666504
2023-03-01,27.939205169677734
2023-04-01,28.76594352722168
2023-05-01,28.76314926147461
2023-06-01,29.94116973876953
2023-07-01,30.89282989501953
2023-08-01,30.09429359436035
2023-09-01,29.80080223083496
2023-10-01,28.69988250732422
2023-11-01,30.014345169067383
2023-12-01,31.453481674194336
2024-01-01,31.9722957611084
2024-02-01,33.038414001464844
2024-03-01,33.75616455078125
2024-04-01,33.03240203857422
2024-05-01,33.77537536621094
2024-06-01,34.81336975097656
2024-07-01,35.47928237915039
2024-08-01,35.07770919799805
2024-09-01,35.697017669677734
2024-10-01,36.59334945678711
2024-11-01,37.356441497802734
2024-12-01,37.71747589111328
2025-01-01,37.135379791259766
2025-02-01,37.19332504272461
2025-03-01,34.79047775268555
2025-04-01,32.626617431640625
2025-05-01,35.08242416381836
2025-06-01,36.11696243286133
2025-07-01,37.480308532714844
2025-08-01,37.85297775268555
2025-09-01,38.58881378173828
2025-10-01,39.307247161865234
2025-11-01,39.28322982788086
2025-12-01,39.84368896484375
2026-01-01,40.031410217285156
2026-02-01,39.53355407714844
2026-03-01,37.66092300415039
2026-04-01,38.34009552001953
2026-05-07,41.69469079388244
