date,retail_sales_mom
2021-07-01,-1.6558542364572215
2021-08-01,0.617463448191069
2021-09-01,0.6833649033165745
2021-10-01,1.4601317759906474
2021-11-01,1.0186348256390199
2021-12-01,-0.7899192477203387
2022-01-01,1.866476970277664
2022-02-01,1.0438489396033868
2022-03-01,2.025698126158715
2022-04-01,1.408082921292042
2022-05-01,-0.052560308030669134
2022-06-01,0.9496140772027539
2022-07-01,-0.9852682652943257
2022-08-01,0.608900007580937
2022-09-01,-0.2579999578037451
2022-10-01,1.0299854650723583
2022-11-01,-1.3778076213863066
2022-12-01,-1.1668673365096804
2023-01-01,4.3712208272025155
2023-02-01,-1.1908804518318883
2023-03-01,-1.0534819505111925
2023-04-01,0.8154016638824979
2023-05-01,0.5082819533060778
2023-06-01,0.4770723339595273
2023-07-01,0.19302424839429122
2023-08-01,0.933192221973278
2023-09-01,0.6787829223591002
2023-10-01,-0.47214764078484794
2023-11-01,-0.1195077446848214
2023-12-01,0.1384738402633534
2024-01-01,-0.8481997793893692
2024-02-01,0.7089363603230758
2024-03-01,0.3445307027784228
2024-04-01,-0.005671564086495717
2024-05-01,0.7521793130328192
2024-06-01,-0.046912846036373246
2024-07-01,0.9222339840190497
2024-08-01,-0.25699914858300366
2024-09-01,0.863079397279054
2024-10-01,0.7446074631429989
2024-11-01,0.5030425390729842
2024-12-01,0.7602693252680037
2025-01-01,-0.83720800540944
2025-02-01,0.044287602283277216
2025-03-01,1.654779889681346
2025-04-01,-0.2158014792285945
2025-05-01,-0.7880419346928291
2025-06-01,0.9680198742914703
2025-07-01,0.6492096487988874
2025-08-01,0.545946488174831
2025-09-01,0.06724067240673204
2025-10-01,-0.15583344259428866
2025-11-01,0.5016065910586232
2025-12-01,-0.00013610664227892144
2026-01-01,-0.02912686109073359
2026-02-01,0.7173558174711436
2026-03-01,1.6614578545822267
