date,value
2024-07-05,18352.7598
2024-07-08,18403.7383
2024-07-09,18429.291
2024-07-10,18647.4473
2024-07-11,18283.4062
2024-07-12,18398.4453
2024-07-15,18472.5664
2024-07-16,18509.3398
2024-07-17,17996.9238
2024-07-18,17871.2227
2024-07-19,17726.9395
2024-07-22,18007.5684
2024-07-23,17997.3516
2024-07-24,17342.4141
2024-07-25,17181.7246
2024-07-26,17357.8809
2024-07-29,17370.2012
2024-07-30,17147.416
2024-07-31,17599.4004
2024-08-01,17194.1445
2024-08-02,16776.1641
2024-08-05,16200.082
2024-08-06,16366.8545
2024-08-07,16195.8057
2024-08-08,16660.0215
2024-08-09,16745.3027
2024-08-12,16780.6094
2024-08-13,17187.6074
2024-08-14,17192.6016
2024-08-15,17594.4961
2024-08-16,17631.7207
2024-08-19,17876.7715
2024-08-20,17816.9375
2024-08-21,17918.9863
2024-08-22,17619.3535
2024-08-23,17877.793
2024-08-26,17725.7656
2024-08-27,17754.8203
2024-08-28,17556.0273
2024-08-29,17516.4297
2024-08-30,17713.625
2024-09-03,17136.2988
2024-09-04,17084.2969
2024-09-05,17127.6602
2024-09-06,16690.832
2024-09-09,16884.6035
2024-09-10,17025.8809
2024-09-11,17395.5312
2024-09-12,17569.6758
2024-09-13,17683.9766
2024-09-16,17592.127
2024-09-17,17628.0605
2024-09-18,17573.3008
2024-09-19,18013.9805
2024-09-20,17948.3203
2024-09-23,17974.2695
2024-09-24,18074.5215
2024-09-25,18082.2051
2024-09-26,18190.291
2024-09-27,18119.5898
2024-09-30,18189.1699
2024-10-01,17910.3594
2024-10-02,17925.123
2024-10-03,17918.4746
2024-10-04,18137.8496
2024-10-07,17923.9043
2024-10-08,18182.916
2024-10-09,18291.6172
2024-10-10,18282.0488
2024-10-11,18342.9375
2024-10-14,18502.6855
2024-10-15,18315.5859
2024-10-16,18367.0781
2024-10-17,18373.6094
2024-10-18,18489.5527
2024-10-21,18540.0059
2024-10-22,18573.1289
2024-10-23,18276.6543
2024-10-24,18415.4863
2024-10-25,18518.6055
2024-10-28,18567.1895
2024-10-29,18712.748
2024-10-30,18607.9316
2024-10-31,18095.1504
2024-11-01,18239.918
2024-11-04,18179.9844
2024-11-05,18439.1699
2024-11-06,18983.4648
2024-11-07,19269.459
2024-11-08,19286.7773
2024-11-11,19298.7637
2024-11-12,19281.4004
2024-11-13,19230.7402
2024-11-14,19107.6504
2024-11-15,18680.1211
2024-11-18,18791.8066
2024-11-19,18987.4688
2024-11-20,18966.1426
2024-11-21,18972.4199
2024-11-22,19003.6504
2024-11-25,19054.8359
2024-11-26,19174.2969
2024-11-27,19060.4766
2024-11-29,19218.166
2024-12-02,19403.9473
2024-12-03,19480.9102
2024-12-04,19735.1152
2024-12-05,19700.2578
2024-12-06,19859.7734
2024-12-09,19736.6895
2024-12-10,19687.2422
2024-12-11,20034.8945
2024-12-12,19902.8418
2024-12-13,19926.7246
2024-12-16,20173.8906
2024-12-17,20109.0605
2024-12-18,19392.6934
2024-12-19,19372.7676
2024-12-20,19572.5977
2024-12-23,19764.8848
2024-12-24,20031.127
2024-12-26,20020.3574
2024-12-27,19722.0312
2024-12-30,19486.7852
2024-12-31,19310.791
2025-01-02,19280.793
2025-01-03,19621.6777
2025-01-06,19864.9805
2025-01-07,19489.6797
2025-01-08,19478.877
2025-01-10,19161.627
2025-01-13,19088.1016
2025-01-14,19044.3926
2025-01-15,19511.2344
2025-01-16,19338.2891
2025-01-17,19630.1992
2025-01-21,19756.7793
2025-01-22,20009.3398
2025-01-23,20053.6777
2025-01-24,19954.3008
2025-01-27,19341.834
2025-01-28,19733.5859
2025-01-29,19632.3223
2025-01-30,19681.748
2025-01-31,19627.4414
2025-02-03,19391.9551
2025-02-04,19654.0156
2025-02-05,19692.3301
2025-02-06,19791.9902
2025-02-07,19523.4023
2025-02-10,19714.2695
2025-02-11,19643.8555
2025-02-12,19649.9512
2025-02-13,19945.6445
2025-02-14,20026.7734
2025-02-18,20041.2598
2025-02-19,20056.252
2025-02-20,19962.3613
2025-02-21,19524.0059
2025-02-24,19286.9258
2025-02-25,19026.3867
2025-02-26,19075.2637
2025-02-27,18544.418
2025-02-28,18847.2793
2025-03-03,18350.1914
2025-03-04,18285.1621
2025-03-05,18552.7344
2025-03-06,18069.2559
2025-03-07,18196.2207
2025-03-10,17468.3223
2025-03-11,17436.0957
2025-03-12,17648.4492
2025-03-13,17303.0137
2025-03-14,17754.0859
2025-03-17,17808.6641
2025-03-18,17504.1172
2025-03-19,17750.791
2025-03-20,17691.627
2025-03-21,17784.0508
2025-03-24,18188.5918
2025-03-25,18271.8555
2025-03-26,17899.0156
2025-03-27,17804.0332
2025-03-28,17322.9902
2025-03-31,17299.2871
2025-04-01,17449.8906
2025-04-02,17601.0469
2025-04-03,16550.6055
2025-04-04,15587.7861
2025-04-07,15603.2617
2025-04-08,15267.9131
2025-04-09,17124.9727
2025-04-10,16387.3105
2025-04-11,16724.4551
2025-04-14,16831.4844
2025-04-15,16823.168
2025-04-16,16307.1602
2025-04-17,16286.4473
2025-04-21,15870.9004
2025-04-22,16300.418
2025-04-23,16708.0508
2025-04-24,17166.043
2025-04-25,17382.9395
2025-04-28,17366.1328
2025-04-29,17461.3184
2025-04-30,17446.3418
2025-05-01,17710.7402
2025-05-02,17977.7285
2025-05-05,17844.2402
2025-05-06,17689.6582
2025-05-07,17738.1621
2025-05-08,17928.1387
2025-05-09,17928.916
2025-05-12,18708.3438
2025-05-13,19010.084
2025-05-14,19146.8086
2025-05-15,19112.3184
2025-05-16,19211.1016
2025-05-19,19215.4629
2025-05-20,19142.7148
2025-05-21,18872.6426
2025-05-22,18925.7344
2025-05-23,18737.207
2025-05-27,19199.1641
2025-05-28,19100.9375
2025-05-29,19175.8711
2025-05-30,19113.7656
2025-06-02,19242.6133
2025-06-03,19398.957
2025-06-04,19460.4883
2025-06-05,19298.4492
2025-06-06,19529.9531
2025-06-09,19591.2363
2025-06-10,19714.9883
2025-06-11,19615.877
2025-06-12,19662.4844
2025-06-13,19406.8262
2025-06-16,19701.2129
2025-06-17,19521.0918
2025-06-18,19546.2734
2025-06-20,19447.4102
2025-06-23,19630.9746
2025-06-24,19912.5332
2025-06-25,19973.5527
2025-06-26,20167.9141
2025-06-27,20273.459
2025-06-30,20369.7344
2025-07-01,20202.8887
2025-07-02,20393.1289
2025-07-03,20601.1016
2025-07-07,20412.5156
2025-07-08,20418.4629
2025-07-09,20611.3379
2025-07-10,20630.6641
2025-07-11,20585.5273
2025-07-14,20640.3281
2025-07-15,20677.7988
2025-07-16,20730.4902
2025-07-17,20884.2676
2025-07-18,20895.6562
2025-07-21,20974.1738
2025-07-22,20892.6855
2025-07-23,21020.0176
2025-07-24,21057.959
2025-07-25,21108.3164
2025-07-28,21178.584
2025-07-29,21098.291
2025-07-30,21129.6738
2025-07-31,21122.4492
2025-08-01,20650.1328
2025-08-04,21053.582
2025-08-05,20916.5508
2025-08-06,21169.4238
2025-08-07,21242.6973
2025-08-08,21450.0215
2025-08-11,21385.4043
2025-08-12,21681.9043
2025-08-13,21713.1406
2025-08-14,21710.6699
2025-08-15,21622.9766
2025-08-18,21629.7734
2025-08-19,21314.9512
2025-08-20,21172.8574
2025-08-21,21100.3125
2025-08-22,21496.5352
2025-08-25,21449.291
2025-08-26,21544.2695
2025-08-27,21590.1406
2025-08-28,21705.1582
2025-08-29,21455.5527
2025-09-02,21279.6309
2025-09-03,21497.7266
2025-09-04,21707.6934
2025-09-05,21700.3887
2025-09-08,21798.6992
2025-09-09,21879.4883
