date,signal_raw,signal_smoothed,position,p_down,p_flat,p_up,pred_label,true_label
2021-01-04,0.17192975983334136,0.17192975983334136,0.0,0.29262754799462803,0.24281514417740288,0.4645573078279694,2,2
2021-01-05,0.17982910023277926,0.17982910023277926,0.8,0.2719277954857332,0.2763153087957544,0.45175689571851246,2,2
2021-01-06,0.15792523389827523,0.15792523389827523,0.8,0.2811517606848387,0.2797712447320475,0.43907699458311394,2,2
2021-01-07,0.12264441110069185,0.12264441110069185,0.8,0.28068269524980727,0.3159901983996938,0.4033271063504991,2,1
2021-01-08,0.12803463734912662,0.15207262848284286,0.8,0.26243942902523854,0.3470865046003964,0.39047406637436516,2,0
2021-01-11,0.17145000885166334,0.15197667828650724,0.8,0.2569258287832305,0.3146983335818757,0.42837583763489384,2,2
2021-01-12,0.1846772891238991,0.15294631606473125,0.8,0.24834991546231297,0.318622879951475,0.4330272045862121,2,2
2021-01-13,0.15150809314801783,0.15166288791467974,0.8,0.2520219206750403,0.34444806550190116,0.40353001382305814,2,2
2021-01-14,0.14774396804061068,0.15668279930266352,0.8,0.2769891558497028,0.2982777202599839,0.4247331238903135,2,2
2021-01-15,0.17622951584972174,0.16632177500278253,0.8,0.2693676416164465,0.2850352009173853,0.44559715746616824,2,2
2021-01-19,0.1767712741151024,0.16738602805547034,0.8,0.2502217958804783,0.322785134123941,0.42699306999558073,2,2
2021-01-20,0.12614834048498608,0.15568023832768776,0.8,0.2598834980908922,0.35408466333322935,0.38603183857587825,2,0
2021-01-21,0.15730987392266432,0.15684059448261706,0.8,0.233843068060187,0.3750039899569613,0.39115294198285133,2,0
2021-01-22,0.14009891073685293,0.15531158302186548,0.8,0.25391692264024024,0.35206724398266687,0.39401583337709317,2,0
2021-01-25,0.09170570229328995,0.13840682031057913,0.8,0.2988776465115542,0.31053900468360185,0.39058334880484413,2,0
2021-01-26,0.08000487654486238,0.11905354079653115,0.8,0.3152650985635195,0.28946492632809884,0.39526997510838185,2,1
2021-01-27,-0.07246778734398163,0.0793303152307376,0.8,0.4388112079043445,0.19484537153529258,0.3663434205603629,0,2
2021-01-28,-0.02021211898544606,0.04382591664911552,0.5,0.4206402657329867,0.17893158751947333,0.4004281467475406,0,2
2021-01-29,0.029611814274024206,0.02172849735654977,0.5,0.38843641469664203,0.19351535633269193,0.41804822897066624,2,2
2021-02-01,0.030365373663344852,0.009460431630560751,0.5,0.400408330800386,0.1688179647358837,0.43077370446373087,2,2
2021-02-02,0.16414189518579503,0.02628783535874728,0.5,0.29242285152120545,0.25101240177179424,0.4565647467070005,2,2
2021-02-03,0.10871334681244255,0.06252406219003212,0.5,0.3012089612485918,0.2888687306903739,0.40992230806103436,2,2
2021-02-04,0.08409919223978352,0.08338632443507803,0.5,0.3020493110265621,0.31180218570709245,0.3861485032663456,2,2
2021-02-05,0.01269433190142838,0.08000282796055887,0.5,0.3442547861118396,0.29879609587489286,0.35694911801326795,2,2
2021-02-08,-0.01729633181892609,0.07047048686410468,0.5,0.36223384229383726,0.2928286472312517,0.34493751047491117,0,1
2021-02-09,0.06658687486867315,0.0509594828006803,0.5,0.31079892047617735,0.3118152841789723,0.3773857953448505,2,1
2021-02-10,0.055048567743541554,0.0402265269869001,0.5,0.3213922113699896,0.30216700951647985,0.37644077911353113,2,1
2021-02-11,0.027645464409205622,0.028935781420784523,0.5,0.33736395254443546,0.29762663050192384,0.3650094169536411,2,0
2021-02-12,0.046581316834590714,0.03571317840741699,0.5,0.31857291158322365,0.31627285999896226,0.36515422841781436,2,0
2021-02-16,0.0724328388455,0.05365901254030221,0.5,0.3228380142368338,0.2818911326808326,0.3952708530823338,2,0
2021-02-17,0.034581591727897154,0.04725795591214701,0.5,0.34796653967803265,0.2694853289160377,0.3825481314059298,2,0
2021-02-18,0.049957934423775,0.0462398292481937,0.5,0.3410597148588523,0.26792263585852055,0.3910176492826273,2,0
2021-02-19,0.004683150051729812,0.04164736637669854,0.5,0.35788556314859515,0.27954572365108016,0.36256871320032497,2,0
2021-02-22,0.10117380271711923,0.05256586355320424,0.5,0.3138914232741664,0.27104335073454844,0.41506522599128565,2,1
2021-02-23,0.11598525278930477,0.061276346341965195,0.5,0.3082549136332383,0.26750491994421927,0.4242401664225431,2,1
2021-02-24,0.09763629806606322,0.07388728760959841,0.5,0.30091265766339176,0.30053838660715393,0.398548955729455,2,0
2021-02-25,0.20704403054541426,0.10530450683392627,0.5,0.28076824675982176,0.23141947593494258,0.487812277305236,2,0
2021-02-26,0.20000365838605877,0.14436860850079206,0.8,0.2825425350707339,0.23491127147247368,0.48254619345679267,2,0
2021-03-01,-0.039490873880092314,0.11623567318134972,0.8,0.38504136402378497,0.2694081458325223,0.34555049014369266,0,0
2021-03-02,-0.028762339741183418,0.08728615467525211,0.8,0.38566154851866086,0.25743924270386126,0.35689920877747744,0,0
2021-03-03,0.04393537809330744,0.07654597068070094,0.5,0.36613588932513286,0.22379284325642662,0.4100712674184403,2,1
2021-03-04,0.08475430494243369,0.052088025560104834,0.5,0.35713571893123497,0.20097425719509612,0.44189002387366866,2,2
2021-03-05,0.08943795886290301,0.029974885655473682,0.5,0.338989609015236,0.23258282310662487,0.428427567878139,2,2
2021-03-08,0.16701159636110663,0.07127537970371348,0.5,0.3103663384990215,0.21225572664085016,0.47737793486012814,2,2
2021-03-09,0.08207006706675385,0.09344186106530092,0.5,0.34003963211453553,0.23785066870417512,0.4221096991812894,2,2
2021-03-10,0.040009843086001695,0.09265675406383977,0.5,0.3526384739235845,0.2547132090668293,0.3926483170095862,2,2
2021-03-11,-0.06918160760726227,0.06186957155390058,0.5,0.3922388867603475,0.2847038340865672,0.32305727915308524,0,0
2021-03-12,-0.051428195504519325,0.03369634068041612,0.5,0.3840339723830915,0.2833602507383362,0.3326057768785722,0,1
2021-03-15,-0.024262993251582043,-0.00455857724212162,0.5,0.34513887514563013,0.33398524296032156,0.3208758818940481,0,1
2021-03-16,-0.002427168167257965,-0.02145802428892398,0.0,0.3375660786112381,0.3272950109447814,0.33513891044398014,0,0
2021-03-17,-0.01508135222861684,-0.03247626335184769,0.0,0.3462000334961009,0.32268128523641504,0.33111868126748406,0,0
2021-03-18,0.06957155516867375,-0.004725630796660485,0.0,0.3288770442190576,0.2726743563932113,0.39844859938773136,2,0
2021-03-19,0.07883716879258701,0.02132744206276078,0.0,0.3158079075734077,0.2895470160605974,0.3946450763659947,2,1
2021-03-22,0.027570105180384552,0.0316940617491541,0.5,0.3439657128917767,0.2844984690360621,0.37153581807216124,2,0
2021-03-23,0.052924098429686595,0.042764315068543016,0.5,0.33366012923611826,0.2797556430980769,0.38658422766580486,2,0
2021-03-24,0.10994093361974439,0.06776877223821526,0.5,0.30512348404154793,0.2798120982971598,0.4150644176612923,2,2
2021-03-25,0.09595953324442219,0.07304636785336495,0.5,0.3116098303060472,0.2808208061434833,0.4075693635504694,2,2
