date,strategy_nav,benchmark_nav,strategy_drawdown,benchmark_drawdown,strategy_daily_return,benchmark_daily_return,excess_nav,position
2021-01-04,1.0,1.0,0.0,0.0,-0.0,-0.01472889121725851,1.0,0.0
2021-01-05,1.0071920928158296,1.0094901160197869,0.0,0.0,0.00719209281582951,0.009490116019786887,0.9977235802832642,0.8
2021-01-06,1.0022786129423642,1.0033342528496612,-0.004878394010946474,-0.006097992513683037,-0.00487839401094643,-0.006097992513683037,0.9989478681662679,0.8
2021-01-07,1.0228383948538367,1.0290610482193903,0.0,0.0,0.02051304063160213,0.025641300789502663,0.993953076567886,0.8
2021-01-08,1.0312606313782737,1.0396528919429378,0.0,0.0,0.00823418104640119,0.010292726308001487,0.9919278245367257,0.8
2021-01-11,1.0209151530706115,1.0266158064164603,-0.010031875544241009,-0.012539844430301428,-0.010031875544240966,-0.012539844430301206,0.9944471404879809,0.8
2021-01-12,1.0231705525253123,1.029450798045068,-0.007844844074139656,-0.009812980829403295,0.0022091938276332713,0.002761492284541589,0.9938994213888785,0.8
2021-01-13,1.026709611175615,1.033901774892098,-0.00441306500431049,-0.00553176651112075,0.003458913708538525,0.004323642135673156,0.9930436682757088,0.8
2021-01-14,1.0256891978148532,1.0326173231185247,-0.0054025465473013234,-0.006767228638459022,-0.0009938675450729129,-0.001242334431341141,0.9932907136568768,0.8
2021-01-15,1.0185466661761573,1.023628852345955,-0.012328566431479393,-0.015412874548000888,-0.006963641280333732,-0.008704551600417165,0.9950351280562771,0.8
2021-01-19,1.0310013053015978,1.0392748315358675,-0.0002514651183079808,-0.0003636409901806026,0.012227853213832419,0.015284816517290523,0.9920391353824639,0.8
2021-01-20,1.04725525276655,1.0597553081688351,0.0,0.0,0.01576520551561984,0.0197065068945248,0.9882047720771655,0.8
2021-01-21,1.051841092253959,1.065556028344687,0.0,0.0,0.00437891285366625,0.005473641067082813,0.9871288456675208,0.8
2021-01-22,1.0525966513588632,1.0665127918769002,0.0,0.0,0.0007183205813772631,0.0008979007267215788,0.9869517359528837,0.8
2021-01-25,1.0583748733503056,1.0738310600618481,0.0,0.0,0.00548949303988664,0.006861866299858299,0.9856065006066668,0.8
2021-01-26,1.057758248366639,1.0730490225761897,-0.0005826149119684265,-0.0007282686399603389,-0.0005826149119682712,-0.0007282686399603389,0.9857501624922592,0.8
2021-01-27,1.0356834465529199,1.0450566333105518,-0.02143987670980463,-0.02679604625111054,-0.020869420633501525,-0.026086775791876904,0.9910309293689288,0.8
2021-01-28,1.0381254015661576,1.0502982608990563,-0.01913260820341267,-0.021914805818185612,0.002357819873790007,0.005015639747580014,0.9884100928411719,0.5
2021-01-29,1.0277547908569773,1.0293138318967785,-0.028931225848550013,-0.04145645420472899,-0.009989747571473362,-0.019979495142946724,0.9984853588949366,0.5
2021-02-01,1.0408349421245817,1.0555138180079033,-0.016572512884967527,-0.01705784339381078,0.012726918311611879,0.025453836623223758,0.9860931466430014,0.5
2021-02-02,1.0489650153661185,1.0720032810352336,-0.008890855424789068,-0.0017021104106537122,0.007811107133799178,0.015622214267598356,0.9785091463088929,0.5
2021-02-03,1.0488787020841,1.0718268630991434,-0.008972408080839323,-0.0018663987634975898,-8.228423327200085e-05,-0.0001645684665440017,0.9785896754363015,0.5
2021-02-04,1.0553212357140755,1.08499383959949,-0.0028852136545567397,0.0,0.006142305699576633,0.012284611399153267,0.9726518227086269,0.5
2021-02-05,1.0583299142567477,1.0911803874934602,-4.24793659504763e-05,0.0,0.0028509599170877253,0.005701919834175451,0.9698945530791907,0.5
2021-02-08,1.063345715283491,1.101523369647179,0.0,0.0,0.0047393548638998695,0.009478709727799739,0.9653410400399256,0.5
2021-02-09,1.0641082205060273,1.1031031330487322,0.0,0.0,0.0007170812009459349,0.0014341624018918697,0.9646498034731062,0.5
2021-02-10,1.0627723622830527,1.1003335098794431,-0.0012553781628895644,-0.002510756325779351,-0.00125537816288962,-0.00251075632577924,0.9658638519511182,0.5
2021-02-11,1.0647970926176562,1.1045260890519906,0.0,0.0,0.0019051401847276495,0.003810280369455299,0.9640307306200132,0.5
2021-02-12,1.0674428143072319,1.1100149632248584,0.0,0.0,0.0024847191149549586,0.004969438229909917,0.9616472296968464,0.5
2021-02-16,1.0656264527060668,1.1062373584128786,-0.0017016008509493918,-0.0034032017018985616,-0.0017016008509493918,-0.0034032017018987837,0.963289157251861,0.5
2021-02-17,1.0625158716193885,1.0997791084403525,-0.0046156502454334225,-0.009221366489302274,-0.0029190163952660386,-0.005838032790532077,0.966117526205959,0.5
2021-02-18,1.0587068542513551,1.0918939034529391,-0.008184007554115524,-0.016325059005757203,-0.0035849039715784015,-0.007169807943156803,0.9696059762797142,0.5
2021-02-19,1.059054260253509,1.0926104955752092,-0.007858551241611167,-0.015679489219753484,0.0003281418277013559,0.0006562836554027118,0.9692880166741996,0.5
2021-02-22,1.0460241357842195,1.0657245251615892,-0.020065410751687995,-0.039900757675009,-0.012303547569102291,-0.024607095138204582,0.9815145575500548,0.5
2021-02-23,1.0434019504662728,1.0603813842009666,-0.02252192203529102,-0.044714333291232755,-0.0025068114857413337,-0.0050136229714826674,0.9839874275542018,0.5
2021-02-24,1.0485460250384788,1.0708369539128524,-0.01770285865947485,-0.03529502809420204,0.004930098673773142,0.009860197347546285,0.97918363874825,0.5
2021-02-25,1.030095798060823,1.0331520371157499,-0.03498736957693327,-0.06924494592920027,-0.017596010606190426,-0.03519202121238085,0.9970418302968661,0.5
2021-02-26,1.0345216355452758,1.0388944640067037,-0.030841163873796762,-0.06407165810768234,0.0042965299856426555,0.005558162482053319,0.9957908828924131,0.8
2021-03-01,1.0593946951677422,1.070117208723721,-0.007539625572085429,-0.03594343844268988,0.024043054072384253,0.030053817590480314,0.9899800568866965,0.8
2021-03-02,1.0450474293231982,1.0520016091407562,-0.020980407272279233,-0.05226357842560925,-0.013542890020109333,-0.016928612525136666,0.9933895730223854,0.8
2021-03-03,1.030768735880669,1.0235697900203586,-0.03435694908899101,-0.07787748460016786,-0.013663201345585258,-0.027026402691170515,1.007033175393118,0.5
2021-03-04,1.01989302544124,1.0019702822679286,-0.04454551403472762,-0.09733623828190041,-0.010551067432344075,-0.02110213486468815,1.017887499749737,0.5
2021-03-05,1.0277758294965569,1.017458838826988,-0.037160758664546156,-0.08338277182225784,0.00772904986962375,0.0154580997392475,1.0101399587637994,0.5
2021-03-08,1.0154064593098129,0.9929684301872159,-0.048748611447808954,-0.10544590560977152,-0.012035085698408665,-0.02407017139681733,1.0225969209498096,0.5
2021-03-09,1.0341158308378717,1.0295603094404435,-0.03122132916411946,-0.0724806930085653,0.018425499814897717,0.03685099962979543,1.0044247251527247,0.5
2021-03-10,1.033918471525772,1.0291673296438348,-0.03140621898627605,-0.07283472408889147,-0.00019084836167698738,-0.00038169672335397475,1.0046164911624056,0.5
2021-03-11,1.0469658332658685,1.055142140638625,-0.01918321128486211,-0.04943430890950762,0.012619333244759834,0.025238666489519668,0.9922509896459942,0.5
2021-03-12,1.043886761688889,1.0489359053027891,-0.0220677419929336,-0.05502543654422465,-0.0029409475258374007,-0.005881895051674801,0.9951864135946012,0.5
2021-03-15,1.0493668174852997,1.0599490295206266,-0.01693392524606896,-0.0451038367616039,0.005249664999625758,0.010499329999251517,0.99001630102901,0.5
2021-03-16,1.0491044757809285,1.0608830294481832,-0.01717969176475742,-0.04426240672822568,-0.00025,0.0008811743787140447,0.9888974058964999,0.0
2021-03-17,1.0491044757809285,1.0651063702486454,-0.01717969176475742,-0.04045764648590211,0.0,0.003980967442432259,0.9849762475235395,0.0
2021-03-18,1.0491044757809285,1.0328953313308027,-0.01717969176475742,-0.06947620928460707,-0.0,-0.030242086440928184,1.0156929206265668,0.0
2021-03-19,1.0491044757809285,1.0406970954024979,-0.01717969176475742,-0.0624476877509611,0.0,0.0075532959004116496,1.0080786046348855,0.0
2021-03-22,1.055284362214319,1.0534781672806561,-0.011390260845779876,-0.0509333637989432,0.005890630128892099,0.012281260257784199,1.0017145062800166,0.5
2021-03-23,1.0493743203275339,1.0416783144289032,-0.01692689644589951,-0.061563718562334335,-0.005600425912105911,-0.011200851824211822,1.007388083050236,0.5
2021-03-24,1.0388307353564408,1.0207457956737307,-0.026804320163380635,-0.08042158935567811,-0.010047496652864696,-0.02009499330572939,1.0177173785670832,0.5
2021-03-25,1.039463481751276,1.0219892575781078,-0.02621155173929801,-0.0793013685067947,0.0006090947960046833,0.0012181895920093666,1.0170982464283218,0.5
2021-03-26,1.045913263601653,1.034671969151009,-0.020169277845156985,-0.06787565624787628,0.006204914327062716,0.012409828654125432,1.0108645974625834,0.5
2021-03-29,1.0427656648745798,1.0284444313878423,-0.023118006043881145,-0.07348597499986331,-0.0030094261509165388,-0.0060188523018330775,1.013925140775386,0.5
2021-03-30,1.041698315237839,1.0273214012567509,-0.024117918753428502,-0.07449770021825919,-0.0010235757396836519,-0.0010919696746045648,1.013994562912347,0.8
2021-03-31,1.0545691835219666,1.0431879413188108,-0.012060253357572326,-0.060203712670592435,0.01235565815539328,0.015444572694241598,1.0109100592063665,0.8
2021-04-01,1.0694235883045833,1.0615555555384655,0.0,-0.04365653553498661,0.014085756548477059,0.017607195685596322,1.0074117955721373,0.8
2021-04-05,1.0837340401531501,1.0793120131155272,0.0,-0.02765994254719939,0.01338146269174203,0.016726828364677537,1.0040970794208604,0.8
2021-04-06,1.083277952954556,1.078744230368294,-0.0004208479033561696,-0.02817145164035939,-0.0004208479033560586,-0.0005260598791950732,1.0042027780623348,0.8
2021-04-07,1.082674406311806,1.0779929545105502,-0.0009777618881422478,-0.028848267613687417,-0.0005571484595471077,-0.0006964355744338846,1.004342748050131,0.8
2021-04-08,1.0915624043918055,1.0890549128127023,0.0,-0.01888267375357011,0.008209299146801642,0.010261623933502051,1.0023024473326392,0.8
2021-04-09,1.09603816688111,1.094636764005942,0.0,-0.013854046772702078,0.0041003267163624455,0.005125408395453057,1.001280244663115,0.8
2021-04-12,1.0928721310298501,1.0906842793392675,-0.0028886182497359636,-0.017414795769446823,-0.0028886182497359415,-0.0036107728121699267,1.002005944095855,0.8
2021-04-13,1.1020948424487838,1.1021895896037384,0.0,-0.007049791111270687,0.008438966606498255,0.010548708258122819,0.9999140373345491,0.8
2021-04-14,1.0933852516990052,1.0913016652115133,-0.007902759739285559,-0.01685859977867188,-0.007902759739285604,-0.009878449674107004,1.0019092672117276,0.8
2021-04-15,1.104804934798078,1.1055490669882895,0.0,-0.004023275707558449,0.01044433613982605,0.013055420174782562,0.9993269116564508,0.8
2021-04-16,1.1056599013380244,1.1066184949827398,0.0,-0.0030598400513909274,0.0007738619850595541,0.0009673274813244426,0.9991337632173495,0.8
2021-04-19,1.0970005048339786,1.095784864863784,-0.007831880756068443,-0.012819735618457395,-0.007831880756068443,-0.009789850945085554,1.001109378317929,0.8
2021-04-20,1.0888960477933018,1.0856655197450045,-0.015161853590272778,-0.021936139859874415,-0.007387833464947491,-0.009234791831184364,1.0029756200132949,0.8
2021-04-21,1.0992556142768122,1.0985765595011017,-0.005792275774369693,-0.01030472930790538,0.009513825038215984,0.01189228129776998,1.0006181223965118,0.8
2021-04-22,1.0909465029927488,1.088196586489816,-0.01330734552955215,-0.019655930287331258,-0.007558852714643472,-0.00944856589330434,1.002527040184718,0.8
2021-04-23,1.1034772149643801,1.1038204942116998,-0.0019741028602040522,-0.005580527486910736,0.011486092065244691,0.014357615081555863,0.9996890080868042,0.8
2021-04-26,1.1111589568681404,1.113425658719887,0.0,0.0,0.006961396030282608,0.008701745037853259,0.9979642090749439,0.8
