date,ppi_change
2021-07-01,1.2887723896898073
2021-08-01,0.6750053914168719
2021-09-01,0.9695178116230663
2021-10-01,2.0311611605665414
2021-11-01,1.173559561682569
2021-12-01,-0.8011114445079293
2022-01-01,2.1194341545881734
2022-02-01,2.5185329454297634
2022-03-01,2.9106308873585007
2022-04-01,2.036813402355264
2022-05-01,2.9931024085032565
2022-06-01,2.561747258015523
2022-07-01,-2.846376997762712
2022-08-01,-1.001931877446982
2022-09-01,-0.6113984255006422
2022-10-01,-1.0589851361339164
2022-11-01,-0.7183252157050624
2022-12-01,-1.9988067959430977
2023-01-01,0.9034614594198409
2023-02-01,-0.5987080510477361
2023-03-01,-0.6212572824729534
2023-04-01,-0.059907726540675554
2023-05-01,-1.2603733632273184
2023-06-01,0.07490046122917704
2023-07-01,-0.009847947687702252
2023-08-01,1.5147635274883386
2023-09-01,0.4866501086619124
2023-10-01,-1.4451559084554422
2023-11-01,-0.9153891971535155
2023-12-01,-1.1824912202992977
2024-01-01,0.5763089015712319
2024-02-01,1.440474958815141
2024-03-01,0.06629374798960974
2024-04-01,0.7381563731158947
2024-05-01,-0.647915385752873
2024-06-01,0.23539733581916522
2024-07-01,0.549794071445886
2024-08-01,-0.7220553316674594
2024-09-01,-1.088611658048333
2024-10-01,0.1579059845972397
2024-11-01,0.05136695366305677
2024-12-01,0.08372464071466634
2025-01-01,1.5535290798388557
2025-02-01,0.8307429281939616
2025-03-01,-0.37495472026759513
2025-04-01,-0.05144570157624706
2025-05-01,0.11068454131706318
2025-06-01,0.7008713535747058
2025-07-01,0.7167234184674465
2025-08-01,-0.09452732525785379
2025-09-01,-0.021365075731583083
2025-10-01,-0.5582818808337109
2025-11-01,0.5076921305801063
2025-12-01,-0.21571966370640405
2026-01-01,0.8172979425978388
2026-02-01,2.2054386397707626
2026-03-01,1.784653318281726
