date,core_pce_yoy
2022-06-01,5.31569109508947
2022-07-01,5.107374057840786
2022-08-01,5.362447330658338
2022-09-01,5.606479327988612
2022-10-01,5.459759683450094
2022-11-01,5.20808883271644
2022-12-01,4.9668814733705435
2023-01-01,4.937665213974429
2023-02-01,4.855603371625716
2023-03-01,4.783286394955444
2023-04-01,4.789642299240104
2023-05-01,4.731625374880166
2023-06-01,4.383786808421353
2023-07-01,4.299124123250864
2023-08-01,3.8282036156702226
2023-09-01,3.687774208035388
2023-10-01,3.4740628549791763
2023-11-01,3.2907438711504255
2023-12-01,3.1123879882344996
2024-01-01,3.159014510020852
2024-02-01,3.059467984974007
2024-03-01,3.122173857921662
2024-04-01,3.006720905553606
2024-05-01,2.7711764063720334
2024-06-01,2.7531619063573265
2024-07-01,2.8062163337682744
2024-08-01,2.873279917118543
2024-09-01,2.838627996468368
2024-10-01,2.9865021082658982
2024-11-01,2.980710120125618
2024-12-01,2.9885896245190446
2025-01-01,2.7801380994415092
2025-02-01,2.9686432938117457
2025-03-01,2.670294814316976
2025-04-01,2.614795918367352
2025-05-01,2.783883382495933
2025-06-01,2.8073722050588
2025-07-01,2.86304724556794
2025-08-01,2.912416347215907
2025-09-01,2.825069249833967
2025-10-01,2.75453840687383
2025-11-01,2.8290927864990767
2025-12-01,2.971110180682146
2026-01-01,3.0837888383218104
2026-02-01,3.0013184705741436
2026-03-01,3.202758906974701
